question,answer
How do stock markets work?,"Stock markets are organized exchanges where buyers and sellers trade shares of publicly listed companies through a network of brokers and electronic systems. Prices are determined by supply and demand—when more people want to buy a stock than sell it, the price rises, and vice versa. Markets provide companies with access to capital and give investors a way to participate in corporate growth."
What is the NYSE?,"The New York Stock Exchange (NYSE) is the world's largest stock exchange by market capitalization, located on Wall Street in New York City. Founded in 1792, it lists thousands of companies including many of the world's largest corporations. The NYSE uses a hybrid market structure combining floor brokers and electronic trading to execute transactions."
What is the NASDAQ?,"The NASDAQ is an electronic stock exchange known for listing many of the world's leading technology companies including Apple, Microsoft, Amazon, and Google. Unlike the NYSE, the NASDAQ has no physical trading floor and operates entirely through a computer network of market makers. It was founded in 1971 as the world's first electronic stock market."
What is the S&P 500?,"The S&P 500 is a stock market index comprising 500 of the largest publicly traded U.S. companies by market capitalization, widely regarded as the best single gauge of the U.S. stock market. It is market-cap weighted, meaning larger companies have a greater influence on the index. The S&P 500 is the most popular benchmark for institutional and individual investors and is the basis for trillions of dollars in index funds."
What is the Dow Jones Industrial Average?,"The Dow Jones Industrial Average (DJIA) is one of the oldest and most recognized stock market indices, tracking 30 large publicly traded U.S. companies. Unlike the S&P 500, it is price-weighted rather than market-cap weighted, meaning higher-priced stocks have more influence. Despite its fame, many analysts consider the S&P 500 a more representative measure of the overall U.S. market."
What is the FTSE 100?,"The FTSE 100 is a stock market index of the 100 largest companies listed on the London Stock Exchange by market capitalization. It is often called the 'Footsie' and serves as the primary benchmark for the UK stock market. Many FTSE 100 companies are multinational corporations, so the index does not solely reflect the UK domestic economy."
What is market capitalization?,"Market capitalization is the total market value of a company's outstanding shares, calculated by multiplying the current stock price by the number of shares outstanding. Companies are classified as large-cap (over $10 billion), mid-cap ($2-10 billion), or small-cap (under $2 billion) based on their market cap. Market cap determines a company's weighting in market-cap-weighted indices."
What is the P/E ratio?,"The price-to-earnings (P/E) ratio compares a company's stock price to its earnings per share, indicating how much investors are willing to pay for each dollar of earnings. A high P/E suggests investors expect strong future growth; a low P/E may indicate an undervalued stock or weak prospects. The average S&P 500 P/E ratio has historically been around 15-20x."
What is the forward P/E ratio?,"The forward P/E ratio uses estimated future earnings (typically the next 12 months) instead of historical earnings to calculate the price-to-earnings multiple. It is useful for evaluating companies with growing earnings, as it reflects what investors are paying for anticipated future profits. Forward P/E is more forward-looking but relies on analyst estimates that can be inaccurate."
What is the PEG ratio?,"The PEG (Price/Earnings to Growth) ratio adjusts the P/E ratio by dividing it by the company's expected earnings growth rate. A PEG below 1.0 is often considered undervalued because the stock is cheap relative to its growth. It provides a more complete valuation picture than the P/E alone by incorporating growth expectations."
What is price-to-book ratio?,"The price-to-book (P/B) ratio compares a company's market price to its book value per share (net assets). A P/B below 1.0 suggests the stock may be undervalued or that the company has serious problems. It is particularly useful for valuing financial companies like banks where assets are a core part of the business."
What is price-to-sales ratio?,"The price-to-sales (P/S) ratio compares a company's market capitalization to its annual revenue. It is particularly useful for valuing companies that are not yet profitable, where P/E ratios are meaningless. A lower P/S ratio suggests a stock may be cheaper relative to revenue, though profitability and margins must also be considered."
What is dividend yield?,"Dividend yield is the annual dividend paid per share divided by the current stock price, expressed as a percentage. A stock with a $2 annual dividend and a $40 share price has a 5% dividend yield. Dividend yield is a key metric for income-oriented investors comparing the income potential of different stocks."
What is dividend payout ratio?,"The dividend payout ratio is the percentage of earnings paid out as dividends to shareholders, calculated as dividends per share divided by earnings per share. A very high payout ratio (above 80-90%) may be unsustainable, while a low ratio suggests more earnings are being reinvested. Investors use this ratio to assess dividend safety and growth potential."
What is the ex-dividend date?,"The ex-dividend date is the cutoff date established by a company, after which new buyers of the stock are not entitled to the next dividend payment. To receive the dividend, an investor must own shares before the ex-dividend date. Stock prices typically fall by approximately the dividend amount on the ex-dividend date as the value of the upcoming payment is no longer attached."
What is a stock split?,"A stock split increases the number of outstanding shares while proportionally reducing the price per share, leaving the total market capitalization unchanged. For example, in a 2-for-1 split, a $100 stock becomes two $50 shares. Companies split their stock to improve affordability and liquidity, making shares more accessible to smaller investors."
What is a reverse stock split?,"A reverse stock split reduces the number of outstanding shares while proportionally increasing the price per share, maintaining the same total market capitalization. For example, in a 1-for-10 reverse split, ten $1 shares become one $10 share. Companies often execute reverse splits to avoid being delisted from exchanges that require a minimum share price."
What is a share buyback?,"A share buyback (repurchase) occurs when a company uses its cash to buy its own shares from the open market, reducing the number of shares outstanding. Buybacks increase earnings per share and return value to shareholders without the tax implications of dividends. Critics argue buybacks can be executed at inopportune times and may benefit executives with stock compensation plans."
What is earnings season?,"Earnings season refers to the four periods each year when the majority of publicly traded companies report their quarterly financial results, typically in January, April, July, and October. Markets often experience increased volatility during earnings season as investors react to whether companies beat or missed analyst expectations. Guidance provided by management about future quarters often moves stock prices more than the actual results."
What are quarterly reports (10-Q)?,"Quarterly reports (10-Q filings) are unaudited financial reports that public companies must file with the SEC within 45 days of each fiscal quarter's end. They include financial statements, management discussion, and disclosures about material risks. Investors and analysts scrutinize 10-Q filings to track business performance trends throughout the year."
What are annual reports (10-K)?,"Annual reports (10-K filings) are comprehensive audited financial reports filed with the SEC annually, providing a detailed overview of a company's business, risk factors, financial statements, and management's discussion and analysis. They are a primary source of information for investors conducting fundamental analysis. The 10-K is more detailed than quarterly reports and includes audited financial statements."
What are SEC filings?,"SEC filings are documents companies are required to submit to the U.S. Securities and Exchange Commission to maintain transparency for investors. Common filings include the 10-K (annual report), 10-Q (quarterly report), 8-K (material events), and proxy statements (DEF 14A). All SEC filings are publicly available on the EDGAR database."
What is insider trading?,"Insider trading refers to buying or selling a company's stock based on material, non-public information, which is illegal in most jurisdictions. Legal insider trading occurs when corporate insiders such as executives and directors buy or sell their company's shares and properly disclose these transactions to regulators. The SEC actively monitors and prosecutes illegal insider trading to maintain market fairness."
Who are institutional investors?,"Institutional investors are large organizations such as pension funds, mutual funds, insurance companies, hedge funds, and endowments that invest substantial sums in financial markets. They account for the majority of trading volume and their buying and selling can significantly move stock prices. Institutional investors often have access to research and data unavailable to individual retail investors."
Who are retail investors?,"Retail investors are individual non-professional investors who buy and sell securities through brokerage accounts for their personal accounts. They typically invest smaller amounts than institutional investors and have historically been at an informational disadvantage. The rise of commission-free trading platforms and access to data has significantly empowered retail investors in recent years."
What are market makers?,"Market makers are financial firms or individuals that provide liquidity to markets by continuously quoting both buy (bid) and sell (ask) prices for securities. They profit from the bid-ask spread while ensuring buyers and sellers can always find a counterparty. Market makers play a critical role in maintaining orderly markets, especially for less liquid securities."
What is the bid-ask spread?,"The bid-ask spread is the difference between the highest price a buyer is willing to pay (bid) and the lowest price a seller is willing to accept (ask). It represents the cost of transacting in a security and serves as compensation for market makers who provide liquidity. Wider spreads indicate lower liquidity, while tighter spreads are found in highly liquid securities like major stock indices."
What are market orders?,"A market order is an instruction to buy or sell a security immediately at the best available current price. Market orders guarantee execution but not price, which can be a disadvantage in fast-moving or illiquid markets. They are best used for highly liquid securities where the bid-ask spread is tight and immediate execution is more important than the exact price."
What are limit orders?,"A limit order instructs a broker to buy or sell a security only at a specified price or better. Buy limit orders execute at or below the limit price; sell limit orders execute at or above it. Limit orders provide price certainty but not execution certainty, as the order may not fill if the market never reaches the specified price."
What are stop-loss orders?,"A stop-loss order automatically sells a security when its price falls to a specified level, limiting potential losses. Once the stop price is triggered, it becomes a market order, which may execute at a lower price in fast-moving markets. Stop-loss orders are essential risk management tools, particularly for traders who cannot monitor their positions continuously."
What is day trading?,"Day trading involves buying and selling financial instruments within the same trading day, with all positions closed before the market closes. Day traders attempt to profit from short-term price fluctuations using technical analysis and leverage. It is considered extremely high-risk; studies consistently show that the vast majority of day traders lose money over time."
What is swing trading?,"Swing trading involves holding positions for several days to weeks, attempting to capture price 'swings' or short-term trends. Swing traders use a combination of technical and fundamental analysis to time entries and exits. It requires less time commitment than day trading but more active management than long-term investing."
What is position trading?,"Position trading involves holding investments for weeks to months, based on longer-term fundamental and technical analysis. Position traders ride major trends in an asset, ignoring short-term fluctuations. It sits between swing trading and long-term buy-and-hold investing in terms of holding period and analysis approach."
What is buy and hold investing?,"Buy and hold is a passive long-term investment strategy where investors purchase securities and hold them for extended periods regardless of market volatility. Research consistently shows that buy-and-hold investors outperform most active traders over long time horizons due to lower transaction costs and taxes. Warren Buffett's famous advice to hold quality stocks 'forever' embodies this philosophy."
What is technical analysis?,"Technical analysis involves evaluating securities based on statistical analysis of market activity such as price and volume, using charts and patterns to predict future price movements. Technical analysts believe historical price patterns repeat and that all relevant information is already reflected in the price. It is widely used by traders for timing entry and exit points."
What is fundamental analysis?,"Fundamental analysis evaluates a security by examining related economic, financial, and other qualitative and quantitative factors including earnings, revenue, assets, and management quality. The goal is to determine a company's intrinsic value and compare it to the market price to identify buying or selling opportunities. It is the primary approach used by long-term value investors."
What are candlestick charts?,"Candlestick charts display price information for a security over a specific time period, showing the open, high, low, and close prices as a single 'candle.' The body of the candle represents the range between the open and close, while the wicks show the high and low. Candlestick patterns are used by technical analysts to identify potential trend reversals and continuation signals."
What are moving averages?,"Moving averages smooth out price data to identify trends by calculating the average price over a specified number of periods. The 50-day and 200-day moving averages are the most widely watched. When a shorter-term moving average crosses above a longer-term one (a 'golden cross'), it is considered a bullish signal; the reverse is called a 'death cross.'"
What is RSI (Relative Strength Index)?,"The Relative Strength Index (RSI) is a momentum oscillator that measures the speed and change of price movements on a scale of 0 to 100. An RSI above 70 indicates a security may be overbought; below 30 suggests it may be oversold. It is one of the most popular technical indicators for identifying potential reversal points."
What is MACD?,"The Moving Average Convergence Divergence (MACD) is a trend-following momentum indicator showing the relationship between two exponential moving averages of a price. The MACD line crossing above the signal line is a bullish signal; crossing below is bearish. Traders use MACD to identify trend changes, strength, and potential buy/sell signals."
What are Bollinger Bands?,"Bollinger Bands consist of a middle band (20-day moving average) and two outer bands set two standard deviations above and below it. Prices touching the upper band may indicate overbought conditions; touching the lower band may indicate oversold. When the bands narrow (squeeze), it often signals an impending significant price move."
What are support and resistance levels?,"Support is a price level where a stock has historically found buying interest, preventing further decline; resistance is a price level where selling pressure has historically capped advances. These levels are important for technical traders in setting entry points, stop-losses, and profit targets. When price breaks through resistance, that level often becomes new support."
What is a breakout?,"A breakout occurs when a stock's price moves above a resistance level or below a support level with increased volume, signaling a potential new trend. Breakouts are considered high-conviction trading signals because they suggest a shift in supply and demand dynamics. False breakouts, where price briefly breaches a level and then reverses, are common pitfalls for traders."
What is volume in trading?,"Volume refers to the number of shares or contracts traded during a specific period and is a key indicator of market activity and liquidity. High volume on a price move confirms the move's significance; low volume may suggest the move lacks conviction. Volume is one of the most important secondary indicators used alongside price analysis."
What is short interest?,"Short interest is the total number of shares of a company that have been sold short but not yet covered or closed out. High short interest (typically above 20% of float) can indicate widespread bearish sentiment. Short interest data is published twice monthly by exchanges and is closely watched by investors as a contrarian indicator."
What is a short squeeze?,"A short squeeze occurs when a heavily shorted stock's price rises sharply, forcing short sellers to buy shares to cover their positions, which further drives up the price. Short squeezes can create explosive price movements that bear little relation to a company's fundamentals. The GameStop episode in January 2021 is the most famous recent example of a coordinated short squeeze."
What is a gamma squeeze?,"A gamma squeeze occurs when market makers who have sold call options are forced to buy increasing amounts of the underlying stock as its price rises, to hedge their exposure. This buying pressure further accelerates the stock's rise in a feedback loop. Gamma squeezes often amplify short squeezes and can cause dramatic, rapid price increases."
